song_id,song_name
0,激唱夢幻劇院
1,痛哭的人
2,浪人情歌
3,PSY - GANGNAM STYLE MV
4,流浪到淡水
5,Say Yes
6,家後
7,奢求
8,千本桜オリジナル曲PV 中文字幕
9,我帶你回家
10,The Kinks - Supersonic Rocket Ship
11,Radio Ga Ga (Live Aid)
12,Crazy Little Thing Called Love
13,成全
14,旋木(0)
15,練習
16,哭笑不得
17,極速
18,甩蔥歌 初音ミクIevan polkka
19,樹枝孤鳥
20,CAN`T GET YOU OUT OF MY HEAD
21,他一定很愛你
22,愛的正好
23,小情歌
24,Ode To My Family
25,心愛的再會啦
26,Taylor Swift - Shake It Off
27,軋車
28,Bohemian Rhapsody
29,沒那麼簡單
30,金雅中_ 瑪麗亞_醜女大翻身
31,愛情的盡頭
32,I MISS YOU
